year,province_name,province_code,city_name,city_code,enterprise_registration_count,individual_business_registration_count
2000,北京市,110000,北京市,110100,121126,57401
2001,北京市,110000,北京市,110100,109596,35260
2002,北京市,110000,北京市,110100,123923,43039
2003,北京市,110000,北京市,110100,150532,59018
2004,北京市,110000,北京市,110100,189022,75919
2005,北京市,110000,北京市,110100,208008,87023
2006,北京市,110000,北京市,110100,188720,84969
2007,北京市,110000,北京市,110100,210057,90239
2008,北京市,110000,北京市,110100,235843,101730
2009,北京市,110000,北京市,110100,238283,96805
2010,北京市,110000,北京市,110100,253914,103666
2011,北京市,110000,北京市,110100,227666,80946
2012,北京市,110000,北京市,110100,192176,64766
2013,北京市,110000,北京市,110100,206365,64748
2014,北京市,110000,北京市,110100,269530,68705
2015,北京市,110000,北京市,110100,292650,62645
2016,北京市,110000,北京市,110100,300864,53523
2017,北京市,110000,北京市,110100,249641,38837
2018,北京市,110000,北京市,110100,205733,9821
2019,北京市,110000,北京市,110100,215657,11565
2020,北京市,110000,北京市,110100,194940,10567
2021,北京市,110000,北京市,110100,242528,19904
2022,北京市,110000,北京市,110100,237593,18050
2023,北京市,110000,北京市,110100,104330,4778
2000,天津市,120000,天津市,120100,41915,25340
2001,天津市,120000,天津市,120100,36437,18961
2002,天津市,120000,天津市,120100,33121,14182
2003,天津市,120000,天津市,120100,41693,19712
2004,天津市,120000,天津市,120100,53479,29295
2005,天津市,120000,天津市,120100,50816,26878
2006,天津市,120000,天津市,120100,49377,24757
2007,天津市,120000,天津市,120100,64430,38864
2008,天津市,120000,天津市,120100,66845,40508
2009,天津市,120000,天津市,120100,68113,40467
2010,天津市,120000,天津市,120100,80276,48457
2011,天津市,120000,天津市,120100,84557,47564
2012,天津市,120000,天津市,120100,84440,50696
2013,天津市,120000,天津市,120100,98191,56492
2014,天津市,120000,天津市,120100,136152,69078
2015,天津市,120000,天津市,120100,152482,67741
2016,天津市,120000,天津市,120100,181022,73378
2017,天津市,120000,天津市,120100,241942,131023
2018,天津市,120000,天津市,120100,214703,79231
2019,天津市,120000,天津市,120100,265596,94258
2020,天津市,120000,天津市,120100,217664,89121
2021,天津市,120000,天津市,120100,195592,92462
2022,天津市,120000,天津市,120100,171240,85244
2023,天津市,120000,天津市,120100,81411,41574
2000,河北省,130000,石家庄市,130100,10753,5149
2001,河北省,130000,石家庄市,130100,8427,2466
2002,河北省,130000,石家庄市,130100,10572,2632
2003,河北省,130000,石家庄市,130100,14157,5343
2004,河北省,130000,石家庄市,130100,33403,21005
2005,河北省,130000,石家庄市,130100,24135,11205
2006,河北省,130000,石家庄市,130100,26267,12962
2007,河北省,130000,石家庄市,130100,34204,20784
2008,河北省,130000,石家庄市,130100,70793,56345
2009,河北省,130000,石家庄市,130100,65211,47983
2010,河北省,130000,石家庄市,130100,57866,40063
2011,河北省,130000,石家庄市,130100,65225,43734
2012,河北省,130000,石家庄市,130100,73242,52833
2013,河北省,130000,石家庄市,130100,82887,51924
2014,河北省,130000,石家庄市,130100,108952,61995
2015,河北省,130000,石家庄市,130100,133062,77978
2016,河北省,130000,石家庄市,130100,161591,96971
2017,河北省,130000,石家庄市,130100,184322,110859
2018,河北省,130000,石家庄市,130100,183496,97869
2019,河北省,130000,石家庄市,130100,224516,110128
2020,河北省,130000,石家庄市,130100,186842,98517
2021,河北省,130000,石家庄市,130100,151326,87129
2022,河北省,130000,石家庄市,130100,158030,93455
2023,河北省,130000,石家庄市,130100,79890,46864
2000,河北省,130000,唐山市,130200,9375,6556
2001,河北省,130000,唐山市,130200,5802,2621
2002,河北省,130000,唐山市,130200,13355,8167
2003,河北省,130000,唐山市,130200,13354,7488
2004,河北省,130000,唐山市,130200,29810,22574
2005,河北省,130000,唐山市,130200,19954,13411
2006,河北省,130000,唐山市,130200,21041,14549
2007,河北省,130000,唐山市,130200,29707,23235
2008,河北省,130000,唐山市,130200,44965,38682
2009,河北省,130000,唐山市,130200,38233,31106
2010,河北省,130000,唐山市,130200,37892,30825
2011,河北省,130000,唐山市,130200,40816,33267
2012,河北省,130000,唐山市,130200,42766,35206
2013,河北省,130000,唐山市,130200,44844,34590
2014,河北省,130000,唐山市,130200,57797,43716
2015,河北省,130000,唐山市,130200,62361,45384
2016,河北省,130000,唐山市,130200,81579,58826
2017,河北省,130000,唐山市,130200,85895,59934
2018,河北省,130000,唐山市,130200,92536,58950
2019,河北省,130000,唐山市,130200,120590,77117
2020,河北省,130000,唐山市,130200,101047,66107
2021,河北省,130000,唐山市,130200,80053,54071
2022,河北省,130000,唐山市,130200,84459,58169
2023,河北省,130000,唐山市,130200,46131,31295
2000,河北省,130000,秦皇岛市,130300,4906,2455
2001,河北省,130000,秦皇岛市,130300,4008,1599
2002,河北省,130000,秦皇岛市,130300,4228,1447
2003,河北省,130000,秦皇岛市,130300,4818,1578
2004,河北省,130000,秦皇岛市,130300,11601,7791
2005,河北省,130000,秦皇岛市,130300,7857,4397
2006,河北省,130000,秦皇岛市,130300,8002,4092
2007,河北省,130000,秦皇岛市,130300,10051,6352
2008,河北省,130000,秦皇岛市,130300,17609,13935
2009,河北省,130000,秦皇岛市,130300,16671,12692
2010,河北省,130000,秦皇岛市,130300,15273,10797
2011,河北省,130000,秦皇岛市,130300,17087,12343
2012,河北省,130000,秦皇岛市,130300,19843,15197
2013,河北省,130000,秦皇岛市,130300,20932,15351
2014,河北省,130000,秦皇岛市,130300,26577,18336
2015,河北省,130000,秦皇岛市,130300,30259,20463
2016,河北省,130000,秦皇岛市,130300,34022,21747
2017,河北省,130000,秦皇岛市,130300,42698,28949
2018,河北省,130000,秦皇岛市,130300,40040,22556
2019,河北省,130000,秦皇岛市,130300,47412,26123
2020,河北省,130000,秦皇岛市,130300,38938,22417
2021,河北省,130000,秦皇岛市,130300,33683,19930
2022,河北省,130000,秦皇岛市,130300,29939,18212
2023,河北省,130000,秦皇岛市,130300,16642,9857
2000,河北省,130000,邯郸市,130400,4970,2619
2001,河北省,130000,邯郸市,130400,3335,560
2002,河北省,130000,邯郸市,130400,4098,754
2003,河北省,130000,邯郸市,130400,5706,1733
2004,河北省,130000,邯郸市,130400,18415,12931
2005,河北省,130000,邯郸市,130400,10307,5109
2006,河北省,130000,邯郸市,130400,15165,9358
2007,河北省,130000,邯郸市,130400,20466,14174
2008,河北省,130000,邯郸市,130400,38086,30505
2009,河北省,130000,邯郸市,130400,27216,19254
2010,河北省,130000,邯郸市,130400,24984,16903
2011,河北省,130000,邯郸市,130400,32168,22726
2012,河北省,130000,邯郸市,130400,34773,25638
2013,河北省,130000,邯郸市,130400,37898,25259
2014,河北省,130000,邯郸市,130400,70013,48868
2015,河北省,130000,邯郸市,130400,92147,64042
2016,河北省,130000,邯郸市,130400,136631,105168
2017,河北省,130000,邯郸市,130400,145956,113805
2018,河北省,130000,邯郸市,130400,121306,71561
2019,河北省,130000,邯郸市,130400,125134,65317
2020,河北省,130000,邯郸市,130400,111589,61572
2021,河北省,130000,邯郸市,130400,92770,52173
2022,河北省,130000,邯郸市,130400,100037,61666
2023,河北省,130000,邯郸市,130400,47345,28348
2000,河北省,130000,邢台市,130500,9051,6906
2001,河北省,130000,邢台市,130500,5106,2522
2002,河北省,130000,邢台市,130500,5310,2299
2003,河北省,130000,邢台市,130500,8411,5115
2004,河北省,130000,邢台市,130500,25379,20950
2005,河北省,130000,邢台市,130500,12931,8485
2006,河北省,130000,邢台市,130500,26430,21525
2007,河北省,130000,邢台市,130500,18598,13643
2008,河北省,130000,邢台市,130500,46469,41165
2009,河北省,130000,邢台市,130500,24807,19148
2010,河北省,130000,邢台市,130500,25761,20167
2011,河北省,130000,邢台市,130500,28513,21936
2012,河北省,130000,邢台市,130500,32255,25513
2013,河北省,130000,邢台市,130500,37288,25488
2014,河北省,130000,邢台市,130500,60647,43118
2015,河北省,130000,邢台市,130500,69633,51218
2016,河北省,130000,邢台市,130500,78350,49508
2017,河北省,130000,邢台市,130500,84938,56279
2018,河北省,130000,邢台市,130500,97185,61367
2019,河北省,130000,邢台市,130500,107408,61288
2020,河北省,130000,邢台市,130500,125390,82858
2021,河北省,130000,邢台市,130500,90834,55716
2022,河北省,130000,邢台市,130500,93534,62884
2023,河北省,130000,邢台市,130500,50304,33939
2000,河北省,130000,保定市,130600,21578,17002
2001,河北省,130000,保定市,130600,14234,9462
2002,河北省,130000,保定市,130600,12948,7187
2003,河北省,130000,保定市,130600,13880,7848
2004,河北省,130000,保定市,130600,47334,39024
2005,河北省,130000,保定市,130600,19469,12451
2006,河北省,130000,保定市,130600,20894,13396
2007,河北省,130000,保定市,130600,27484,19693
2008,河北省,130000,保定市,130600,44162,36450
2009,河北省,130000,保定市,130600,41523,32649
2010,河北省,130000,保定市,130600,39747,30460
2011,河北省,130000,保定市,130600,36440,26762
2012,河北省,130000,保定市,130600,43691,33484
2013,河北省,130000,保定市,130600,49924,34003
2014,河北省,130000,保定市,130600,70441,46372
2015,河北省,130000,保定市,130600,91134,63788
2016,河北省,130000,保定市,130600,141237,98945
2017,河北省,130000,保定市,130600,142755,95091
2018,河北省,130000,保定市,130600,144339,74543
2019,河北省,130000,保定市,130600,155557,81525
2020,河北省,130000,保定市,130600,145727,80736
2021,河北省,130000,保定市,130600,135117,76564
2022,河北省,130000,保定市,130600,146056,90930
2023,河北省,130000,保定市,130600,77469,45175
2000,河北省,130000,张家口市,130700,5430,3458
2001,河北省,130000,张家口市,130700,2867,1296
2002,河北省,130000,张家口市,130700,4054,2014
2003,河北省,130000,张家口市,130700,4890,2705
2004,河北省,130000,张家口市,130700,13382,10437
2005,河北省,130000,张家口市,130700,10427,7265
2006,河北省,130000,张家口市,130700,10138,7004
2007,河北省,130000,张家口市,130700,15098,11285
2008,河北省,130000,张家口市,130700,26509,22359
2009,河北省,130000,张家口市,130700,21406,16627
2010,河北省,130000,张家口市,130700,20053,15410
2011,河北省,130000,张家口市,130700,21394,16528
2012,河北省,130000,张家口市,130700,24503,19392
2013,河北省,130000,张家口市,130700,24092,17853
2014,河北省,130000,张家口市,130700,32407,22528
2015,河北省,130000,张家口市,130700,34934,23198
2016,河北省,130000,张家口市,130700,43258,28055
2017,河北省,130000,张家口市,130700,46731,30031
2018,河北省,130000,张家口市,130700,50848,30585
2019,河北省,130000,张家口市,130700,60858,37433
2020,河北省,130000,张家口市,130700,58800,39460
2021,河北省,130000,张家口市,130700,47143,34153
2022,河北省,130000,张家口市,130700,41710,30511
2023,河北省,130000,张家口市,130700,27705,21175
2000,河北省,130000,承德市,130800,3967,2682
2001,河北省,130000,承德市,130800,2100,760
2002,河北省,130000,承德市,130800,2319,737
2003,河北省,130000,承德市,130800,3749,1843
2004,河北省,130000,承德市,130800,18825,15700
2005,河北省,130000,承德市,130800,7587,4969
2006,河北省,130000,承德市,130800,8085,5034
2007,河北省,130000,承德市,130800,11419,8055
2008,河北省,130000,承德市,130800,16465,13203
2009,河北省,130000,承德市,130800,17798,14177
2010,河北省,130000,承德市,130800,17675,14019
2011,河北省,130000,承德市,130800,17036,13382
2012,河北省,130000,承德市,130800,18665,14484
2013,河北省,130000,承德市,130800,21128,15759
2014,河北省,130000,承德市,130800,27194,18813
2015,河北省,130000,承德市,130800,32771,23451
2016,河北省,130000,承德市,130800,36549,24018
2017,河北省,130000,承德市,130800,38465,25339
2018,河北省,130000,承德市,130800,40669,25457
2019,河北省,130000,承德市,130800,43104,26978
2020,河北省,130000,承德市,130800,36965,23066
2021,河北省,130000,承德市,130800,35991,24035
2022,河北省,130000,承德市,130800,37724,27835
2023,河北省,130000,承德市,130800,22647,17281
2000,河北省,130000,沧州市,130900,6781,4478
2001,河北省,130000,沧州市,130900,5282,2304
2002,河北省,130000,沧州市,130900,7474,3894
2003,河北省,130000,沧州市,130900,14007,9719
2004,河北省,130000,沧州市,130900,27030,21711
2005,河北省,130000,沧州市,130900,15910,10996
2006,河北省,130000,沧州市,130900,14266,9374
2007,河北省,130000,沧州市,130900,17556,12724
2008,河北省,130000,沧州市,130900,30969,26047
2009,河北省,130000,沧州市,130900,30608,25223
2010,河北省,130000,沧州市,130900,24995,18936
2011,河北省,130000,沧州市,130900,30159,23123
2012,河北省,130000,沧州市,130900,34650,27389
2013,河北省,130000,沧州市,130900,41267,29319
2014,河北省,130000,沧州市,130900,48004,31447
2015,河北省,130000,沧州市,130900,55082,37398
2016,河北省,130000,沧州市,130900,71848,47994
2017,河北省,130000,沧州市,130900,82202,52721
2018,河北省,130000,沧州市,130900,87237,51899
2019,河北省,130000,沧州市,130900,101490,61708
2020,河北省,130000,沧州市,130900,94465,58754
2021,河北省,130000,沧州市,130900,95164,64575
2022,河北省,130000,沧州市,130900,83975,58954
2023,河北省,130000,沧州市,130900,47322,33489
2000,河北省,130000,廊坊市,131000,6291,4682
2001,河北省,130000,廊坊市,131000,4086,1594
2002,河北省,130000,廊坊市,131000,5546,2225
2003,河北省,130000,廊坊市,131000,9325,6127
2004,河北省,130000,廊坊市,131000,23447,18738
2005,河北省,130000,廊坊市,131000,16759,12414
2006,河北省,130000,廊坊市,131000,13258,9316
2007,河北省,130000,廊坊市,131000,15906,11731
2008,河北省,130000,廊坊市,131000,27314,23034
2009,河北省,130000,廊坊市,131000,23804,19436
2010,河北省,130000,廊坊市,131000,22580,17530
2011,河北省,130000,廊坊市,131000,24735,19015
2012,河北省,130000,廊坊市,131000,24411,18990
2013,河北省,130000,廊坊市,131000,28812,21474
2014,河北省,130000,廊坊市,131000,38948,26074
2015,河北省,130000,廊坊市,131000,49298,32823
2016,河北省,130000,廊坊市,131000,62905,37502
2017,河北省,130000,廊坊市,131000,69101,41168
2018,河北省,130000,廊坊市,131000,68848,34448
2019,河北省,130000,廊坊市,131000,86968,40065
2020,河北省,130000,廊坊市,131000,99176,38573
2021,河北省,130000,廊坊市,131000,88892,38757
2022,河北省,130000,廊坊市,131000,85121,44870
2023,河北省,130000,廊坊市,131000,41791,22631
2000,河北省,130000,衡水市,131100,6564,4699
2001,河北省,130000,衡水市,131100,3192,1388
2002,河北省,130000,衡水市,131100,3251,1279
2003,河北省,130000,衡水市,131100,3568,1486
2004,河北省,130000,衡水市,131100,13102,9945
2005,河北省,130000,衡水市,131100,6094,3505
2006,河北省,130000,衡水市,131100,6030,3365
